2022-09-28 12:25:43.954441	26℃	47%
2022-09-28 12:25:44.956365	26℃	47%
2022-09-28 12:25:46.214319	26℃	47%
2022-09-28 12:25:47.215786	26℃	47%
2022-09-28 12:25:48.473108	26℃	47%
2022-09-28 12:25:49.474663	26℃	47%
2022-09-28 12:25:50.732260	26℃	47%
2022-09-28 12:25:51.733731	26℃	47%
2022-09-28 12:27:07.808779	26℃	47%	DI=72.7368
2022-09-28 12:27:08.810517	26℃	47%	DI=72.7368
2022-09-28 12:27:10.067717	26℃	47%	DI=72.7368
2022-09-28 12:27:11.069130	26℃	47%	DI=72.7368
2022-09-28 12:27:12.326409	26℃	47%	DI=72.7368
2022-09-28 12:27:13.327858	26℃	47%	DI=72.7368
2022-09-28 12:27:14.585523	26℃	47%	DI=72.7368
2022-09-28 12:27:15.586930	26℃	47%	DI=72.7368
2022-09-28 12:27:16.844502	26℃	47%	DI=72.7368
2022-09-28 12:27:17.845954	26℃	47%	DI=72.7368
